"Productname","Modelnumber","Itemnumber","Productprice","Productdescription","categorie"
"Staples Hanging File Folder, 5-Tab, Letter Size, Standard Green, 50/Box (TR266262)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue/Green/Red/Orange/Yellow, 25/Box (TR18654)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand®  100% Recycled Hanging File Folders; 1/5-Cut, Letter Size, Green, 25/Box (7Q5215)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex SureHook Hanging File Folders, Legal Size, Standard Green, 20/Box (PFX 6153 1/5)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Smead FasTab Hanging File Folders, 1/3 Cut, Letter Size, Multicolor, 18/Box (64053)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Hanging File Folder, Legal Size, Standard Green, 25/Box (TR521252)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex Reinforced Hanging File Folders, 1/5 Tab, Letter Size, Assorted Jeweltone Colors, 25/Box (PFX 4152 1/5 ASST2)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand®  100% Recycled Hanging File Folders, 1/5-Cut, Legal Size, Green, 50/Box (745315)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® 100% Recycled 3-Tab Hanging File Folders, Letter Size, Green, 25/Box (7Q5213)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex SureHook 5-Tab Hanging File Folders, Letter Size, Multicolor, 20/Box (6152 1/5 ASST)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex SureHook Reinforced Hanging File Folders, Extra Capacity, Letter Size, Standard Green, 20/Box (PFX 6152x2)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex Glow 5-Tab Hanging File Folders, Letter Size, Multicolor, 25/Box (81672)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® 100% Recycled Premium Reinforced 5-Tab Hanging File Folders, Letter Size, Green, 25/Box (76215P)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex® SureHook® 5-Tab Hanging File Folders, Letter Size, Green, 20/Box (6152 1/5)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® 100% Recycled Hanging File Folders; 1/5-Cut Adjustable Tabs, Letter Size,Green,  50/Box (745215)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® 100% Recycled 5-Tab Hanging File Folders, Legal Size, Green, 25/Box (7Q5315)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® Hanging File Folders, 1/5-Cut, Letter Size, Assorted, 25/Box (7387QAD)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Reinforced Box Bottom Hanging File Folder, 3"" Expansion, Letter Size, Standard Green, 25/Box (TR418376)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Hanging File Folder, 5-Tab, Letter Size, Blue, 25/Box (TR163501)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Reinforced Hanging File Folders, 5-Tab, Legal Size, Assorted Colors, 25/Box (TR18657)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Staples Hanging File Folder, 5-Tab, Letter Size, Red, 25/Box (TR163535)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Pendaflex SureHook Hanging File Folders, Extra Capacity, 3-1/2"" Expansion, Letter Size, Standard Green, 4/Pack (PFX 09217)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® Hanging File Folders, 1/5-Cut, Letter Size, Blue, 25/Box (7387QBE)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
"Quill Brand® Box Bottom Hanging File Folders, 3"" Expansion, Letter Size, Dark Green, 25/Box (730052)","Model # 730052","Item # 901-730052","$48.99","Sturdy 11-pt.dark green paper stockReinforced bottomLetter size","Hanging File Folders"
